task,feature_set,model,feature,mean_abs_shap,sd_abs_shap,min_abs_shap,max_abs_shap,folds,explained_samples
seven_class,all,extra_trees,median_rtt_ms,0.00105578730335699,0.00011361862345237636,0.0008859371921621181,0.0011593375198873394,5,1000
seven_class,all,extra_trees,p95_rtt_ms,0.0009835161364945774,0.0001903149116868536,0.0007175397711025453,0.001240684959392325,5,1000
seven_class,all,extra_trees,root_server_tx_delta,0.0008749115889518265,7.994054418404093e-05,0.0007707289502797593,0.0009883510731617325,5,1000
seven_class,all,extra_trees,std_rtt_ms,0.0008512631586831562,0.0001641798990506616,0.0006087954905431257,0.0010152725984069067,5,1000
seven_class,all,extra_trees,root_server_rx_delta,0.0008239076528706015,5.0941073851621154e-05,0.0007674891107675181,0.0008743797527461112,5,1000
seven_class,all,extra_trees,max_rtt_ms,0.0007999555046441564,8.23854559330222e-05,0.0006987622394820288,0.0008949377880417134,5,1000
seven_class,all,extra_trees,app_tx_delta,0.0007639608656094544,6.271985721699148e-05,0.0006938880971338071,0.0008548154007569711,5,1000
seven_class,all,extra_trees,root_mac_acked_delta,0.0006899057932756313,6.302540899805428e-05,0.0006169092745268897,0.0007757239705386145,5,1000
seven_class,all,extra_trees,app_rx_delta,0.0006759750290206282,8.538785661852439e-05,0.0005484850773648429,0.00076885045448321,5,1000
seven_class,all,extra_trees,transaction_count,0.0004243917928454724,5.2685731934144934e-05,0.00037204159666671727,0.0004928992233205425,5,1000
seven_class,all,extra_trees,transaction_success_count,0.0004076201777182139,6.818275998176256e-05,0.00030124168586512625,0.0004717500306773673,5,1000
seven_class,all,extra_trees,uplink_success_count,0.00039725918865071805,5.0237039376021493e-05,0.00033603927893908705,0.0004380114659064759,5,1000
seven_class,all,extra_trees,client_energest_total_delta,0.00032530959518094866,8.543680767888815e-05,0.00024306063452349147,0.00047046289494743576,5,1000
seven_class,all,extra_trees,app_timeouts_delta,0.00013646124178049552,5.262312344522374e-05,7.848059650796636e-05,0.0002125492315661121,5,1000
seven_class,all,extra_trees,app_delivery_ratio,0.00012342964850638557,3.9807940914871496e-05,9.770915276743665e-05,0.00019328949365093718,5,1000
seven_class,all,extra_trees,client_mac_valid_nodes,0.00011044090846643242,1.56031987755604e-05,9.415300417097858e-05,0.00013279198988177426,5,1000
seven_class,all,extra_trees,client_mac_reset_nodes,0.00010288070416070218,1.8410036099497223e-05,8.280343775335921e-05,0.00013216862778428178,5,1000
seven_class,all,extra_trees,parent_changes_delta,8.445428464003175e-05,1.8348460557483092e-05,5.969160547034854e-05,0.0001060811866930955,5,1000
seven_class,all,extra_trees,uplink_delivery_ratio,3.857093302186866e-05,1.4537778013495213e-05,1.3982365202416605e-05,5.066599707076992e-05,5,1000
seven_class,all,extra_trees,queue_drops_delta,3.8471980903341636e-05,1.3375324418045902e-05,1.5691836075762103e-05,4.704756380917366e-05,5,1000
seven_class,all,extra_trees,mean_neighbors,0.0,0.0,0.0,0.0,5,1000
seven_class,all,extra_trees,reachable_fraction,0.0,0.0,0.0,0.0,5,1000
seven_class,all,extra_trees,root_mean_rssi,0.0,0.0,0.0,0.0,5,1000
seven_class,all,extra_trees,route_miss_delta,0.0,0.0,0.0,0.0,5,1000
