task,feature_set,model,output_class,feature,mean_abs_shap,sd_abs_shap,folds,explained_samples
seven_class,all,extra_trees,Clean,app_tx_delta,0.0010353016259875788,0.00022236552968655154,5,1000
seven_class,all,extra_trees,Clean,root_mac_acked_delta,0.000915905620570238,0.00010104484975114211,5,1000
seven_class,all,extra_trees,Clean,app_rx_delta,0.0008656950645088578,0.00011358396589422532,5,1000
seven_class,all,extra_trees,Clean,p95_rtt_ms,0.0007520735220186877,0.00037454503228863563,5,1000
seven_class,all,extra_trees,Clean,max_rtt_ms,0.0006030663680032208,0.0002076555305891721,5,1000
seven_class,all,extra_trees,Clean,std_rtt_ms,0.0005761659830608528,0.00013824869665283887,5,1000
seven_class,all,extra_trees,Clean,transaction_success_count,0.0004984884400488327,6.953202241029741e-05,5,1000
seven_class,all,extra_trees,Clean,transaction_count,0.0004964091974721337,9.297063038971983e-05,5,1000
seven_class,all,extra_trees,Clean,uplink_success_count,0.00045368261187619913,4.07401725816122e-05,5,1000
seven_class,all,extra_trees,Clean,client_energest_total_delta,0.0002679966026861336,0.00012456526052948962,5,1000
seven_class,all,extra_trees,Clean,app_timeouts_delta,0.00012216040561847908,6.615143452941448e-05,5,1000
seven_class,all,extra_trees,Clean,app_delivery_ratio,5.518295185621999e-05,4.262351709430015e-05,5,1000
seven_class,all,extra_trees,Clean,client_mac_valid_nodes,4.355777554336149e-05,7.646868697742845e-06,5,1000
seven_class,all,extra_trees,Clean,client_mac_reset_nodes,2.832068496917598e-05,3.536326417079106e-06,5,1000
seven_class,all,extra_trees,Clean,uplink_delivery_ratio,1.654991697740693e-05,2.75111279900112e-06,5,1000
seven_class,all,extra_trees,Clean,queue_drops_delta,1.3543815725859172e-05,3.508807190886588e-06,5,1000
seven_class,all,extra_trees,Clean,parent_changes_delta,1.0944689013788208e-05,3.907906415286051e-06,5,1000
seven_class,all,extra_trees,Clean,mean_neighbors,0.0,0.0,5,1000
seven_class,all,extra_trees,Clean,reachable_fraction,0.0,0.0,5,1000
seven_class,all,extra_trees,Clean,root_mean_rssi,0.0,0.0,5,1000
seven_class,all,extra_trees,Clean,route_miss_delta,0.0,0.0,5,1000
seven_class,all,extra_trees,DIO_Flood,root_mac_rx_delta,0.06850792956231452,0.003971015186202076,5,1000
seven_class,all,extra_trees,DIO_Flood,client_mac_rx_delta,0.04931899215159535,0.004436067734608532,5,1000
seven_class,all,extra_trees,DIO_Flood,mean_rank,0.025207681917381652,0.0015292636398789633,5,1000
seven_class,all,extra_trees,DIO_Flood,client_energest_tx_delta,0.022342701603103966,0.0013816742313259086,5,1000
seven_class,all,extra_trees,DIO_Flood,client_energest_listen_delta,0.022180253808709974,0.001628871469569526,5,1000
seven_class,all,extra_trees,DIO_Flood,client_radio_tx_fraction,0.022026692885826864,0.0012214242376427692,5,1000
seven_class,all,extra_trees,DIO_Flood,mean_etx_x100,0.02051580474676199,0.0010157098490097365,5,1000
