task,feature_set,model,fold,train_seeds,test_seeds,train_rows,test_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,mcc,roc_auc,pr_auc,roc_auc_ovr_macro
seven_class,routing,extra_trees,1,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",1904,476,0.5840336134453782,0.5840336134453781,0.5812180629438581,0.5812180629438581,0.5829176439014715,0.5840336134453781,0.5153537723097645,,,0.8714059153072995
seven_class,routing,extra_trees,2,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",1904,476,0.6470588235294118,0.6470588235294118,0.6423109671263832,0.642310967126383,0.6447004002282589,0.6470588235294118,0.5897617194574054,,,0.9041414359861591
seven_class,routing,extra_trees,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",1904,476,0.6512605042016807,0.6512605042016807,0.6154255970048953,0.6154255970048954,0.6563730130677999,0.6512605042016807,0.6086740014601422,,,0.9206623826000989
seven_class,routing,extra_trees,4,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",1904,476,0.6617647058823529,0.661764705882353,0.657373333997621,0.6573733339976209,0.6616779277873901,0.661764705882353,0.607554580794961,,,0.9070275168891087
seven_class,routing,extra_trees,5,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",1904,476,0.6617647058823529,0.661764705882353,0.6518890247766421,0.6518890247766422,0.6474355802927232,0.661764705882353,0.6067087960162317,,,0.9026069986818257
seven_class,routing,extra_trees,pooled,,1001-1010,,2380,0.6411764705882353,0.6411764705882353,0.6291551780881713,0.6291551780881712,0.6247021352046757,0.6411764705882353,0.5832382145806583,,,0.9002819657274675
seven_class,mac,extra_trees,1,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",1904,476,0.8823529411764706,0.8823529411764707,0.8824415518849446,0.8824415518849444,0.8831408321725223,0.8823529411764707,0.8628561789064966,,,0.9801321263799637
seven_class,mac,extra_trees,2,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",1904,476,0.8550420168067226,0.8550420168067226,0.8545519657138217,0.8545519657138216,0.8561007706167768,0.8550420168067226,0.8312419644503057,,,0.9743470917778876
seven_class,mac,extra_trees,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",1904,476,0.8697478991596639,0.8697478991596638,0.8700414922624761,0.8700414922624763,0.8713258905119478,0.8697478991596638,0.8482095665228483,,,0.974702380952381
seven_class,mac,extra_trees,4,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",1904,476,0.8277310924369747,0.8277310924369748,0.8287289971269433,0.8287289971269431,0.8306215819661198,0.8277310924369748,0.7991965792254321,,,0.9727920579996704
seven_class,mac,extra_trees,5,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",1904,476,0.8550420168067226,0.8550420168067226,0.851643848481235,0.851643848481235,0.8600822147040635,0.8550420168067226,0.8329220371276891,,,0.9769757167572912
seven_class,mac,extra_trees,pooled,,1001-1010,,2380,0.8579831932773109,0.8579831932773109,0.8578406549809959,0.8578406549809958,0.8580048331917484,0.8579831932773109,0.8343711257089621,,,0.9756877162629757
seven_class,radio,extra_trees,1,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",1904,476,0.6554621848739496,0.6554621848739496,0.6523532972833614,0.6523532972833613,0.6503807609086171,0.6554621848739496,0.598208653279598,,,0.9252450980392158
seven_class,radio,extra_trees,2,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",1904,476,0.6974789915966386,0.6974789915966387,0.6969316060005789,0.6969316060005789,0.6996633891398707,0.6974789915966387,0.6475257780706143,,,0.9473039215686274
seven_class,radio,extra_trees,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",1904,476,0.6659663865546218,0.6659663865546219,0.6651922487594267,0.6651922487594266,0.6669765095086763,0.6659663865546219,0.6107093479591519,,,0.9280796877574559
seven_class,radio,extra_trees,4,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",1904,476,0.6428571428571429,0.6428571428571429,0.6430185119617927,0.6430185119617927,0.6441541981020789,0.6428571428571429,0.5834835739784081,,,0.9198256508485748
seven_class,radio,extra_trees,5,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",1904,476,0.6764705882352942,0.6764705882352942,0.6762710662549571,0.6762710662549573,0.6810258367858698,0.6764705882352942,0.6232618806143176,,,0.9249799184379635
seven_class,radio,extra_trees,pooled,,1001-1010,,2380,0.6676470588235294,0.6676470588235295,0.6665801931626172,0.6665801931626171,0.6660124561527354,0.6676470588235295,0.6123352453333168,,,0.9287405256220135
